gene_id,S7F_he_10_6_6h_1,S7F_he_30_6_6h_3,S7F_he_DMSO_6h_1,S7F_he_DMSO_6h_2,S7F_he_DMSO_6h_3,ctr,exp,FDR,AveExpr,P value,S7F_he_30_6_6h_3 CPM,S7F_he_DMSO_6h_1 CPM,S7F_he_DMSO_6h_2 CPM,S7F_he_10_6_6h_1 CPM,S7F_he_DMSO_6h_3 CPM
Tco_016468,17,4250,1667,2914,13,0,-7.72090360191658,9.50167546042553e-49,7.13440758760197,2.14970033041302e-52,344.802,126.051,227.306,1.094,1.125
Tco_006813,0,3613,971,2900,7,0,-9.4682595381696,1.08480473917468e-33,6.8911825138552,4.9086187292972e-37,293.122,73.422,226.214,0.000,0.606
Tco_016469,0,4930,1251,5357,6,0,-10.3012971948331,1.02111316729687e-32,7.50921329607098,6.93063235721861e-36,399.970,94.595,417.871,0.000,0.519
Tco_016470,65,11605,4537,8743,65,0,-7.08022442281413,6.17225728288932e-31,8.62945419664688,5.58575319718491e-34,941.511,343.066,681.995,4.182,5.623
Tco_019180,0,1478,443,1010,0,0,-12.9875642443224,2.88565001127214e-30,5.5417029237364,3.26430996750242e-33,119.910,33.498,78.785,0.000,0.000
Tco_021681,244,3832,3857,2157,106,0,-4.39553230273129,8.68575083754765e-29,7.32963212624021,1.1790611996671e-31,310.889,291.648,168.256,15.698,9.170
Tco_016467,43,9465,3295,4773,76,0,-6.65625624027749,1.8952004861895e-27,8.13333826728275,3.00144873378428e-30,767.894,249.152,372.316,2.766,6.575
Tco_016818,35,10550,34124,16376,29,0,-9.39876814498471,2.99275489359093e-27,9.90404780027833,5.41675093862611e-30,855.919,2580.295,1277.405,2.252,2.509
Tco_016817,22,5327,22108,10602,38,0,-8.73829211222412,6.41839431650666e-21,9.22022821785792,1.30691286987692e-23,432.178,1671.702,827.006,1.415,3.287
Tco_014253,363,1280,1854,1393,278,0,-2.33884635620507,8.10260892074031e-21,6.33506179393036,1.83316943908152e-23,103.846,140.191,108.661,23.354,24.049
Tco_006815,0,9866,2466,8586,16,0,-9.69696480991499,1.12319472167485e-19,8.37165162784153,2.79528098154375e-22,800.427,186.467,669.748,0.000,1.384
Tco_016826,125,4172,16570,12680,82,0,-6.85709914208347,5.79617722857159e-19,9.0357718194693,1.57362277698776e-21,338.474,1252.945,989.099,8.042,7.094
Tco_008245,146,9789,2282,5423,145,0,-5.41532543357814,1.18600831821146e-18,8.14292798963788,3.48825975944548e-21,794.180,172.554,423.019,9.393,12.544
Tco_010109,10,2444,5225,626,18,0,-7.65688654992568,4.58544635298017e-17,7.0414489322764,1.45240382221091e-19,198.281,395.090,48.831,0.643,1.557
Tco_014256,189,1233,1812,1348,271,0,-2.71088241493436,5.22899663911474e-17,6.25345329488171,1.7745463707403e-19,100.033,137.015,105.150,12.160,23.444
Tco_016822,5,2148,3993,298,0,0,-9.86368459229189,9.00986754915032e-17,6.6755035612195,3.26149051552953e-19,174.267,301.932,23.245,0.322,0.000
Tco_010110,10,7872,18580,4058,41,0,-8.60099406451037,2.10448146251891e-16,8.9134770257593,8.09415947122656e-19,638.654,1404.931,316.543,0.643,3.547
Tco_005492,51417,199440,339100,166215,46520,0,-2.34911299030233,1.93862649491463e-15,13.6161789093696,7.89485902906409e-18,16180.527,25641.132,12965.549,3308.017,4024.378
Tco_006814,7,23857,8082,13164,52,0,-8.93243192470069,1.20021479461276e-14,9.48740702188902,5.15929436598246e-17,1935.514,611.122,1026.854,0.450,4.498
Tco_010107,719,4755,7379,4688,994,0,-2.75068902446649,5.31395693987461e-12,8.18570567816081,2.4045054026582e-14,385.772,557.965,365.686,46.258,85.990
Tco_009287,1123,6083,12590,8506,552,0,-3.58297725068937,2.00590936781313e-11,8.81499869665779,9.5303386253565e-14,493.513,951.996,663.508,72.250,47.753
Tco_015596,490,5099,3877,3158,813,0,-2.66409660277546,1.07403025062113e-10,7.73100344670744,5.58884519553982e-13,413.681,293.160,246.339,31.525,70.331
Tco_020365,1047,3527,6689,5332,1150,0,-2.29759521672705,1.55827258626294e-10,8.11422849464972,8.46120861319244e-13,286.145,505.790,415.921,67.361,99.485
Tco_010923,369,1762,2408,1553,550,0,-2.08898018175026,1.42967030533172e-8,6.70688961782895,8.0863705052699e-11,142.951,182.082,121.141,23.740,47.580
Tco_006091,872,5054,12478,8407,1100,0,-3.1750654910234,3.0293980668462e-8,8.7703365279771,1.78199886285071e-10,410.030,943.527,655.785,56.102,95.159
Tco_001375,476,1206,990,846,353,0,-1.40470249020609,4.66046130294308e-8,5.91498366141801,2.93905834833409e-10,97.843,74.859,65.992,30.624,30.538
Tco_002403,612,2156,1974,1836,727,0,-1.6314696739154,4.66046130294308e-8,6.83986284833492,3.03819849022073e-10,174.916,149.265,143.217,39.374,62.892
Tco_013101,189,971,1180,587,171,0,-2.43455066754924,4.66046130294308e-8,5.60695108278292,3.05776872817532e-10,78.777,89.226,45.789,12.160,14.793
Tco_012090,659,1450,7455,4532,359,0,-3.26673534765403,4.87384269734982e-8,7.81031613754771,3.30803802987544e-10,117.638,563.712,353.517,42.398,31.057
Tco_008432,310,961,1123,844,349,0,-1.63355296618397,5.82036567695246e-8,5.81321815896129,4.08215692274946e-10,77.966,84.916,65.836,19.944,30.191
Tco_005177,1094,2466,2878,3175,1024,0,-1.5031207983931,5.96397849664289e-8,7.37076253120093,4.3178124862573e-10,200.066,217.621,247.665,70.385,88.585
Tco_012919,28,766,493,427,12,0,-4.96919407301129,6.56149460826978e-8,4.77624400808018,4.89885344056341e-10,62.145,37.278,33.308,1.801,1.038
Tco_015963,385,1534,2212,1966,618,0,-1.94805186206086,1.05874773114362e-7,6.71969539307543,8.14421331648938e-10,124.453,167.261,153.357,24.770,53.462
Tco_015415,471,1100,805,992,339,0,-1.36797481488004,1.79978735181836e-7,5.84931912818513,1.42517097994666e-9,89.243,60.870,77.381,30.303,29.326
Tco_013232,44471,367300,337283,225491,100606,0,-2.09313063686416,2.65961215773731e-7,14.0546161596071,2.16619994747836e-9,29798.976,25503.739,17589.354,2861.132,8703.281
Tco_002531,116,448,1724,2974,177,0,-3.56003307136518,2.81119619489068e-7,6.40154351693072,2.35326378305329e-9,36.346,130.361,231.986,7.463,15.312
Tco_011606,440,794,3466,2043,284,0,-2.64933598615855,5.72424768835839e-7,6.76964274671981,4.92129891759318e-9,64.417,262.082,159.364,28.308,24.568
Tco_007141,95,713,723,724,113,0,-2.85023125808331,0.0000013580571612707,5.22090109945249,1.19828573053297e-8,57.846,54.670,56.475,6.112,9.775
Tco_000799,28,89736,80721,8911,595,0,-7.48780087483366,0.00000160086264488342,11.4877903862159,1.44874447500762e-8,7280.264,6103.739,695.100,1.801,51.473
Tco_002033,458,2613,748,1532,232,0,-2.4020540507462,0.00000175171250363016,6.45352829618763,1.62489168888771e-8,211.992,56.560,119.503,29.466,20.070
Tco_017057,2061,687,657,458,1158,0,1.27774845394699,0.0000043150653806983,6.22325833966541,4.10028837079929e-8,55.736,49.679,35.726,132.599,100.177
Tco_010058,784,1336,1274,1243,555,0,-1.05490519346684,0.000010412788217509,6.3286640277313,1.0130088084907e-7,108.389,96.334,96.960,50.440,48.012
Tco_017104,1964,771,759,568,1328,0,1.11188542411629,0.0000109721950760614,6.34085662967241,1.09225471345408e-7,62.551,57.392,44.307,126.358,114.883
Tco_002034,49,727,241,838,30,0,-4.05382165378228,0.0000128669331478972,4.8929178786664,1.30998188157324e-7,58.981,18.223,65.368,3.153,2.595
