KEGG	Genes
ko04013	Tco_000002
ko04360	Tco_000023
ko04745	Tco_000023
ko00010	Tco_000025
ko00030	Tco_000025
ko00052	Tco_000025
ko00230	Tco_000025
ko00500	Tco_000025
ko00520	Tco_000025
ko00521	Tco_000025
ko01100	Tco_000025
ko01110	Tco_000025
ko01120	Tco_000025
ko01130	Tco_000025
ko03040	Tco_000027
ko04013	Tco_000031
ko05206	Tco_000031
ko03013	Tco_000034
ko00970	Tco_000036
ko04217	Tco_000038
ko04218	Tco_000038
ko04745	Tco_000041
ko00515	Tco_000051
ko01100	Tco_000051
ko01521	Tco_000052
ko04010	Tco_000052
ko04014	Tco_000052
ko04015	Tco_000052
ko04060	Tco_000052
ko04066	Tco_000052
ko04151	Tco_000052
ko04370	Tco_000052
ko04510	Tco_000052
ko04520	Tco_000052
ko04550	Tco_000052
ko04714	Tco_000052
ko04810	Tco_000052
ko05200	Tco_000052
ko05202	Tco_000052
ko05205	Tco_000052
ko05215	Tco_000052
ko05218	Tco_000052
ko05224	Tco_000052
ko05230	Tco_000052
ko05323	Tco_000052
ko05418	Tco_000052
ko04080	Tco_000058
ko04080	Tco_000060
ko04080	Tco_000062
ko00230	Tco_000066
ko00240	Tco_000066
ko01100	Tco_000066
ko03020	Tco_000066
ko04623	Tco_000066
ko05169	Tco_000066
ko04130	Tco_000067
ko01521	Tco_000068
ko04010	Tco_000068
ko04014	Tco_000068
ko04015	Tco_000068
ko04060	Tco_000068
ko04072	Tco_000068
ko04151	Tco_000068
ko04510	Tco_000068
ko04540	Tco_000068
ko04630	Tco_000068
ko04810	Tco_000068
ko05166	Tco_000068
ko05200	Tco_000068
ko05202	Tco_000068
ko05206	Tco_000068
ko05214	Tco_000068
ko05215	Tco_000068
ko05218	Tco_000068
ko05231	Tco_000068
ko05418	Tco_000068
ko04621	Tco_000075
ko04626	Tco_000075
ko01521	Tco_000077
ko04010	Tco_000077
ko04014	Tco_000077
ko04015	Tco_000077
ko04060	Tco_000077
ko04066	Tco_000077
ko04151	Tco_000077
ko04370	Tco_000077
ko04510	Tco_000077
ko04520	Tco_000077
ko04550	Tco_000077
ko04714	Tco_000077
ko04810	Tco_000077
ko05200	Tco_000077
ko05202	Tco_000077
ko05205	Tco_000077
ko05215	Tco_000077
ko05218	Tco_000077
ko05224	Tco_000077
ko05230	Tco_000077
ko05323	Tco_000077
ko05418	Tco_000077
