ko	Genes
ko:K20230	Tco_000002
ko:K04530	Tco_000012
ko:K17492	Tco_000015
ko:K04967	Tco_000023
ko:K01835	Tco_000025
ko:K15779	Tco_000025
ko:K12862	Tco_000027
ko:K22375	Tco_000028
ko:K17383	Tco_000031
ko:K03243	Tco_000034
ko:K01883	Tco_000036
ko:K01409	Tco_000038
ko:K05864	Tco_000038
ko:K09566	Tco_000038
ko:K16751	Tco_000039
ko:K13617	Tco_000040
ko:K13803	Tco_000041
ko:K21032	Tco_000051
ko:K04362	Tco_000052
ko:K05096	Tco_000052
ko:K05098	Tco_000052
ko:K04196	Tco_000058
ko:K04196	Tco_000060
ko:K04196	Tco_000062
ko:K03020	Tco_000066
ko:K08515	Tco_000067
ko:K04359	Tco_000068
ko:K12795	Tco_000075
ko:K04362	Tco_000077
ko:K05096	Tco_000077
ko:K05098	Tco_000077
ko:K11170	Tco_000083
ko:K12848	Tco_000085
ko:K01952	Tco_000086
ko:K02359	Tco_000087
ko:K05636	Tco_000089
ko:K10414	Tco_000089
ko:K11267	Tco_000090
ko:K09560	Tco_000091
ko:K01262	Tco_000092
ko:K00764	Tco_000093
ko:K01587	Tco_000094
ko:K08805	Tco_000095
ko:K20071	Tco_000097
ko:K21918	Tco_000099
ko:K16632	Tco_000100
ko:K12490	Tco_000101
ko:K18440	Tco_000101
ko:K01969	Tco_000103
ko:K03679	Tco_000104
ko:K16059	Tco_000105
ko:K05741	Tco_000108
ko:K16688	Tco_000108
ko:K05741	Tco_000109
ko:K16688	Tco_000109
ko:K03858	Tco_000112
ko:K05741	Tco_000113
ko:K16688	Tco_000113
ko:K13718	Tco_000118
ko:K00729	Tco_000119
ko:K12586	Tco_000120
ko:K02881	Tco_000124
ko:K02881	Tco_000125
ko:K14802	Tco_000126
ko:K03678	Tco_000127
ko:K12586	Tco_000127
ko:K10802	Tco_000128
ko:K19202	Tco_000129
ko:K18283	Tco_000130
ko:K05038	Tco_000135
ko:K12190	Tco_000136
ko:K11599	Tco_000137
ko:K09312	Tco_000140
ko:K12383	Tco_000142
ko:K12383	Tco_000145
ko:K12383	Tco_000146
ko:K11252	Tco_000147
ko:K11275	Tco_000147
ko:K12383	Tco_000148
ko:K04306	Tco_000149
ko:K04307	Tco_000149
ko:K03357	Tco_000150
ko:K00142	Tco_000151
ko:K12581	Tco_000152
ko:K12185	Tco_000153
ko:K01887	Tco_000154
ko:K13169	Tco_000155
ko:K17278	Tco_000156
ko:K10587	Tco_000157
ko:K12232	Tco_000157
ko:K11654	Tco_000158
ko:K12162	Tco_000159
ko:K05609	Tco_000160
ko:K09206	Tco_000163
ko:K09228	Tco_000163
ko:K18740	Tco_000164
ko:K20230	Tco_000166
ko:K17902	Tco_000176
ko:K18341	Tco_000176
ko:K09212	Tco_000181
ko:K09881	Tco_000182
ko:K07523	Tco_000183
ko:K20230	Tco_000183
ko:K20230	Tco_000189
ko:K20363	Tco_000190
ko:K20230	Tco_000195
ko:K20363	Tco_000201
ko:K05313	Tco_000204
ko:K05181	Tco_000208
ko:K05181	Tco_000210
ko:K05181	Tco_000212
ko:K05181	Tco_000214
ko:K10395	Tco_000221
ko:K02084	Tco_000234
ko:K00825	Tco_000235
ko:K02537	Tco_000237
ko:K00472	Tco_000238
ko:K02910	Tco_000239
ko:K07750	Tco_000240
ko:K22282	Tco_000240
ko:K15148	Tco_000241
ko:K07364	Tco_000242
ko:K02434	Tco_000243
ko:K07378	Tco_000245
ko:K06272	Tco_000246
ko:K16507	Tco_000249
ko:K16507	Tco_000252
ko:K13136	Tco_000253
ko:K14778	Tco_000254
ko:K03125	Tco_000255
ko:K16506	Tco_000260
ko:K16506	Tco_000261
ko:K16506	Tco_000262
ko:K12302	Tco_000263
ko:K17541	Tco_000266
ko:K11093	Tco_000267
ko:K04874	Tco_000277
ko:K15620	Tco_000282
ko:K00826	Tco_000287
ko:K11279	Tco_000294
ko:K11405	Tco_000294
ko:K19269	Tco_000295
ko:K08660	Tco_000297
ko:K03953	Tco_000298
ko:K21877	Tco_000307
ko:K10085	Tco_000308
ko:K02947	Tco_000309
ko:K11413	Tco_000310
ko:K15176	Tco_000312
ko:K10249	Tco_000313
ko:K00993	Tco_000319
ko:K13644	Tco_000319
ko:K17586	Tco_000320
ko:K11421	Tco_000321
ko:K11421	Tco_000322
ko:K11421	Tco_000323
ko:K09228	Tco_000325
ko:K20191	Tco_000326
ko:K08964	Tco_000331
ko:K03141	Tco_000332
ko:K22073	Tco_000333
ko:K09442	Tco_000335
ko:K09092	Tco_000337
ko:K18061	Tco_000339
ko:K12367	Tco_000341
ko:K14688	Tco_000342
ko:K22415	Tco_000344
ko:K09228	Tco_000361
ko:K09231	Tco_000361
ko:K00627	Tco_000366
ko:K13997	Tco_000366
ko:K06961	Tco_000367
ko:K13421	Tco_000369
ko:K07197	Tco_000381
ko:K04358	Tco_000383
ko:K18496	Tco_000384
ko:K09366	Tco_000385
ko:K13192	Tco_000387
ko:K15455	Tco_000388
ko:K12670	Tco_000389
ko:K15194	Tco_000389
ko:K15195	Tco_000389
ko:K00020	Tco_000391
ko:K00213	Tco_000398
ko:K00213	Tco_000399
ko:K00213	Tco_000400
ko:K17686	Tco_000401
ko:K03844	Tco_000402
ko:K06125	Tco_000403
ko:K03132	Tco_000405
ko:K02223	Tco_000407
ko:K00699	Tco_000408
ko:K04628	Tco_000408
ko:K14971	Tco_000408
ko:K13336	Tco_000409
ko:K22156	Tco_000411
ko:K09233	Tco_000412
ko:K17805	Tco_000413
ko:K05038	Tco_000419
ko:K04615	Tco_000420
ko:K12572	Tco_000438
ko:K10866	Tco_000439
ko:K02984	Tco_000441
ko:K11997	Tco_000447
ko:K11997	Tco_000504
ko:K11997	Tco_000505
ko:K20631	Tco_000510
ko:K20631	Tco_000511
ko:K00729	Tco_000512
ko:K03027	Tco_000512
ko:K09108	Tco_000513
ko:K16669	Tco_000525
ko:K16669	Tco_000526
ko:K16669	Tco_000527
ko:K18081	Tco_000528
ko:K17544	Tco_000531
ko:K16538	Tco_000532
ko:K14209	Tco_000534
ko:K14209	Tco_000535
ko:K14209	Tco_000536
