KOG	Genes
S	Tco_000001
T	Tco_000002
L	Tco_000009
T	Tco_000012
KT	Tco_000015
U	Tco_000022
PT	Tco_000023
I	Tco_000024
G	Tco_000025
L	Tco_000026
A	Tco_000027
S	Tco_000028
S	Tco_000029
S	Tco_000031
J	Tco_000034
S	Tco_000035
J	Tco_000036
S	Tco_000037
O	Tco_000038
S	Tco_000039
S	Tco_000040
PT	Tco_000041
TW	Tco_000043
S	Tco_000050
G	Tco_000051
T	Tco_000052
S	Tco_000053
S	Tco_000054
S	Tco_000055
S	Tco_000056
S	Tco_000057
T	Tco_000058
T	Tco_000060
T	Tco_000062
S	Tco_000063
K	Tco_000066
U	Tco_000067
G	Tco_000068
TW	Tco_000071
G	Tco_000072
T	Tco_000075
T	Tco_000077
S	Tco_000082
Q	Tco_000083
A	Tco_000085
F	Tco_000086
S	Tco_000087
S	Tco_000088
Z	Tco_000089
D	Tco_000090
OT	Tco_000091
E	Tco_000092
F	Tco_000093
F	Tco_000094
T	Tco_000095
T	Tco_000097
S	Tco_000098
S	Tco_000099
S	Tco_000100
TZ	Tco_000101
S	Tco_000102
EI	Tco_000103
V	Tco_000104
S	Tco_000105
TZ	Tco_000108
TZ	Tco_000109
S	Tco_000111
MO	Tco_000112
TZ	Tco_000113
OT	Tco_000118
M	Tco_000119
J	Tco_000120
S	Tco_000121
S	Tco_000123
J	Tco_000124
J	Tco_000125
P	Tco_000126
J	Tco_000127
K	Tco_000128
K	Tco_000129
T	Tco_000130
K	Tco_000134
P	Tco_000135
U	Tco_000136
O	Tco_000137
S	Tco_000138
K	Tco_000140
S	Tco_000142
S	Tco_000145
S	Tco_000146
B	Tco_000147
S	Tco_000148
T	Tco_000149
DO	Tco_000150
Q	Tco_000151
A	Tco_000152
U	Tco_000153
J	Tco_000154
S	Tco_000155
S	Tco_000156
O	Tco_000157
K	Tco_000158
S	Tco_000159
O	Tco_000160
S	Tco_000163
L	Tco_000164
T	Tco_000166
S	Tco_000176
S	Tco_000181
IT	Tco_000182
T	Tco_000183
U	Tco_000187
S	Tco_000188
T	Tco_000189
U	Tco_000190
T	Tco_000195
U	Tco_000201
P	Tco_000204
T	Tco_000208
T	Tco_000210
T	Tco_000212
T	Tco_000214
Z	Tco_000221
S	Tco_000228
S	Tco_000231
K	Tco_000233
T	Tco_000234
E	Tco_000235
DZ	Tco_000237
E	Tco_000238
J	Tco_000239
I	Tco_000240
K	Tco_000241
T	Tco_000242
J	Tco_000243
I	Tco_000245
T	Tco_000246
S	Tco_000249
S	Tco_000252
S	Tco_000253
A	Tco_000254
K	Tco_000255
S	Tco_000257
T	Tco_000260
T	Tco_000261
T	Tco_000262
G	Tco_000263
T	Tco_000264
T	Tco_000266
A	Tco_000267
K	Tco_000268
S	Tco_000274
P	Tco_000277
S	Tco_000281
B	Tco_000282
E	Tco_000287
S	Tco_000289
BD	Tco_000294
P	Tco_000295
S	Tco_000296
E	Tco_000297
C	Tco_000298
T	Tco_000301
S	Tco_000307
G	Tco_000308
J	Tco_000309
BK	Tco_000310
P	Tco_000312
I	Tco_000313
S	Tco_000314
S	Tco_000317
I	Tco_000319
O	Tco_000320
B	Tco_000321
B	Tco_000322
B	Tco_000323
C	Tco_000325
S	Tco_000326
S	Tco_000327
K	Tco_000330
G	Tco_000331
KL	Tco_000332
K	Tco_000333
T	Tco_000334
K	Tco_000335
K	Tco_000337
T	Tco_000338
T	Tco_000339
