Genes	Preferred_name	Description
Tco_000001		catalytic activity. It is involved in the biological process described with metabolic process
Tco_000002	kek1	Leucine rich repeat C-terminal domain
Tco_000009		transposition
Tco_000012		Phosphotyrosine interaction domain (PTB/PID)
Tco_000015		HPC2 and ubinuclein domain
Tco_000022		Carbonic anhydrase-related protein
Tco_000023	TRP	Transient receptor potential
Tco_000024		START domain
Tco_000025		It is involved in the biological process described with carbohydrate metabolic process
Tco_000026	MCMDC2	Minichromosome maintenance domain containing 2
Tco_000027	Tango4	Pleiotropic regulator
Tco_000028		DC-STAMP-like protein
Tco_000029		NEDD4 family-interacting protein
Tco_000031	sty	Sprouty protein (Spry)
Tco_000034	eIF5B	translation Initiation Factor
Tco_000035	C16orf87	Chromosome 16 open reading frame 87
Tco_000036	CARS2	cysteine-tRNA ligase activity
Tco_000037		Zinc ion binding
Tco_000038	PPID	cellular response to UV-A
Tco_000039	C2CD3	C2 calcium-dependent domain containing 3
Tco_000040		Demethylates proteins that have been reversibly carboxymethylated
Tco_000041	TRPL	Belongs to the transient receptor (TC 1.A.4) family
Tco_000043		GHH signature containing HNH/Endo VII superfamily nuclease toxin
Tco_000050		PDGF/VEGF domain
Tco_000051		N-acetyllactosaminide
Tco_000052	Pvr	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_000053		MFS_1 like family
Tco_000054		MFS_1 like family
Tco_000055		MFS_1 like family
Tco_000056		MFS_1 like family
Tco_000057		MFS_1 like family
Tco_000058		Belongs to the G-protein coupled receptor 1 family
Tco_000058		receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_000060		receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_000062		receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_000063	TBC1D19	TBC1 domain family, member 19
Tco_000063		Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
Tco_000066	POLR1D	DNA-directed RNA polymerases I and III subunit
Tco_000067	Vamp7	Belongs to the synaptobrevin family
Tco_000068		Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family
Tco_000071		GHH signature containing HNH/Endo VII superfamily nuclease toxin
Tco_000072	Pvf1	Belongs to the PDGF VEGF growth factor family
Tco_000075	Sgt1	SGS domain
Tco_000077	Pvr	ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_000082		MFS_1 like family
Tco_000083		Belongs to the short-chain dehydrogenases reductases (SDR) family
Tco_000085		Zinc ion binding
Tco_000086	PFAS	phosphoribosylformylglycinamidine synthase activity
Tco_000087		Beta-1,4-mannosyltransferase
Tco_000088		MIT domain-containing protein
Tco_000089	btv	activity. It is involved in the biological process described with microtubule-based movement
Tco_000090		Sister chromatid cohesion protein PDS5 homolog
Tco_000091	ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Tco_000092		metalloexopeptidase activity. It is involved in the biological process described with proteolysis
Tco_000093	Prat	Glutamine amidotransferase domain
Tco_000094	PAICS	phosphoribosylaminoimidazole carboxylase activity
Tco_000095		protein serine threonine kinase activity. It is involved in the biological process described with intracellular signal transduction
Tco_000097		It is involved in the biological process described with signal transduction
Tco_000098	Noa36	Zinc ion binding
Tco_000099		It is involved in the biological process described with protein homooligomerization
Tco_000100	INTU	Inturned planar cell polarity protein
Tco_000101		GTPase-activator protein for Rho-like GTPases
Tco_000102		C2H2-type zinc-finger domain
Tco_000103		Si ch211-198n5.11
Tco_000104		It is involved in the biological process described with metabolic process
Tco_000105	Stim	Stromal interaction molecule
Tco_000108	dia	binding. It is involved in the biological process described with
Tco_000109	dia	binding. It is involved in the biological process described with
Tco_000111		Steroid receptor RNA activator (SRA1)
Tco_000112	PIGH	phosphatidylinositol glycan anchor biosynthesis, class H
Tco_000113	dia	binding. It is involved in the biological process described with
Tco_000118		ALG13, UDP-N-acetylglucosaminyltransferase subunit
Tco_000119		Glycosyl transferase family 2
Tco_000120	EXOSC8	3' exoribonuclease family, domain 2
Tco_000121		Otopetrin
Tco_000123		Otopetrin
Tco_000124		Otopetrin
Tco_000125		Otopetrin
Tco_000126		Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Tco_000127	EXOSC9	U1 snRNA 3'-end processing
Tco_000128		DNA- binding
Tco_000129	Sap30	Histone deacetylase complex subunit SAP30 homolog
Tco_000130		3'5'-cyclic nucleotide phosphodiesterase
Tco_000134		Helix-hairpin-helix motif
Tco_000135		Neurotransmitter sodium symporter activity. It is involved in the biological process described with
Tco_000136	VPS36	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Tco_000137		Proteasome maturation factor UMP1
Tco_000138		Deltamethrin resistance
Tco_000140	cad	Homeodomain
Tco_000142		GM2 ganglioside activator
Tco_000145	GM2A	GM2 ganglioside activator
Tco_000146	GM2A	GM2 ganglioside activator
Tco_000147		Protein heterodimerization activity
Tco_000148	GM2A	Ganglioside GM2 activator
Tco_000149		7 transmembrane receptor (rhodopsin family)
Tco_000150		anaphase-promoting complex-dependent catabolic process
Tco_000151	AASDH	amino acid activation for nonribosomal peptide biosynthetic process
Tco_000152		nucleic acid binding
Tco_000153	mod(r)	Modifier of rudimentary (Mod(r)) protein
Tco_000154	RARS	Belongs to the class-I aminoacyl-tRNA synthetase family
Tco_000155		anchor protein 17A
Tco_000156		Belongs to the cytochrome b5 family
Tco_000157		ubiquitin-protein
Tco_000158		hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides. It is involved in the biological process described with ATP-dependent chromatin remodeling
Tco_000159		Ubiquitin fold modifier 1 protein
Tco_000160	UCHL3	ubiquitin carboxyl-terminal hydrolase
Tco_000163		Metal ion binding
Tco_000164	EXD1	piRNA metabolic process
Tco_000166	kek1	Leucine rich repeat C-terminal domain
Tco_000176	TBC1D4	TBC1 domain family, member 4
Tco_000181		Metal ion binding
Tco_000182		Kinase activity. It is involved in the biological process described with
Tco_000183		Leucine rich repeat C-terminal domain
Tco_000187		Yip1 domain
Tco_000188		ERK and JNK pathways, inhibitor
Tco_000189	kek2	Leucine rich repeat C-terminal domain
Tco_000190	YIPF5	regulation of ER to Golgi vesicle-mediated transport
Tco_000195	kek1	Leucine rich repeat C-terminal domain
Tco_000201		Yip1 domain
Tco_000204		ionotropic glutamate receptor activity
Tco_000208	Rdl	activity. It is involved in the biological process described with ion transport
Tco_000210	Rdl	activity. It is involved in the biological process described with ion transport
Tco_000212	Rdl	activity. It is involved in the biological process described with ion transport
Tco_000214	Rdl	activity. It is involved in the biological process described with ion transport
Tco_000221	KIF4A	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Tco_000228		Domain of unknown function (DUF4728)
Tco_000231		Domain of unknown function (DUF4728)
Tco_000233		BESS motif
Tco_000234	APAF1	Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase-9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. This activation requires ATP
Tco_000235		Aminotransferase class I and II
Tco_000237	MAD2L1	positive regulation of spindle checkpoint
Tco_000238		Prolyl 4-hydroxylase
Tco_000239	RpL31	Structural constituent of ribosome. It is involved in the biological process described with
Tco_000240		Belongs to the sterol desaturase family
Tco_000241	MED7	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery
Tco_000242		ATP binding. It is involved in the biological process described with
